                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.99531,                0.46634,                0.94635,                0.97636,                0.98338,                0.98728,                0.69185,                  1.183,                0.47132,                 1.0109,              0.0004754,              0.0004754,              0.0004754
                     80,                0.96235,                0.45484,                0.93556,                0.97618,                0.97581,                0.98639,                0.69534,                 1.1617,                0.47505,                 1.0078,              0.0004556,              0.0004556,              0.0004556
                     81,                0.96787,                0.45797,                0.91867,                 0.9819,                0.95238,                0.98581,                0.68247,                 1.1555,                0.48175,                 1.0022,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0023,                0.47026,                0.94023,                0.95962,                0.97619,                0.98496,                 0.6851,                 1.1526,                0.47463,                 1.0095,               0.000416,               0.000416,               0.000416
                     83,                 1.0086,                 0.4767,                0.93973,                0.94629,                0.97891,                0.98639,                0.68142,                 1.1803,                 0.4912,                 1.0109,              0.0003962,              0.0003962,              0.0003962
                     84,                0.96481,                0.45887,                0.93702,                0.98857,                0.94444,                0.98665,                0.69982,                  1.133,                0.48013,                 1.0082,              0.0003764,              0.0003764,              0.0003764
                     85,                0.95017,                0.45006,                0.93288,                0.99173,                 0.9512,                0.98614,                0.69456,                 1.1254,                0.48016,                 1.0009,              0.0003566,              0.0003566,              0.0003566
                     86,                0.96119,                0.44491,                0.94748,                0.97397,                0.96032,                0.98479,                0.69832,                 1.0931,                0.47436,                0.99411,              0.0003368,              0.0003368,              0.0003368
                     87,                0.93636,                0.44875,                0.92557,                0.98372,                0.95938,                 0.9861,                0.68253,                 1.1669,                0.48009,                 1.0162,               0.000317,               0.000317,               0.000317
                     88,                0.94215,                0.43823,                0.92454,                0.98373,                0.95971,                0.98809,                0.69693,                  1.171,                0.47817,                 1.0187,              0.0002972,              0.0002972,              0.0002972
                     89,                0.93128,                0.43859,                0.92634,                0.99072,                0.95238,                0.98733,                0.70062,                 1.1229,                0.47119,                 1.0128,              0.0002774,              0.0002774,              0.0002774
                     90,                0.96038,                 0.4533,                0.93263,                0.97603,                0.96936,                 0.9878,                0.69933,                 1.1329,                0.45964,                 1.0026,              0.0002576,              0.0002576,              0.0002576
                     91,                0.94596,                0.42221,                0.96225,                0.97596,                0.96644,                0.98798,                0.70616,                  1.115,                0.45569,                 1.0069,              0.0002378,              0.0002378,              0.0002378
                     92,                0.91325,                0.42738,                0.94743,                0.98282,                0.96032,                0.98585,                0.69377,                 1.1176,                 0.4573,                 1.0026,               0.000218,               0.000218,               0.000218
                     93,                0.90423,                0.40684,                0.95382,                0.96846,                0.97474,                0.98565,                0.68239,                 1.1388,                0.46512,                 1.0112,              0.0001982,              0.0001982,              0.0001982
                     94,                0.89426,                0.40344,                0.94629,                0.96843,                0.97376,                0.98691,                0.70104,                 1.1343,                0.46509,                 1.0189,              0.0001784,              0.0001784,              0.0001784
                     95,                0.87971,                0.39615,                0.93893,                0.98372,                0.95933,                0.98857,                0.69799,                 1.1438,                0.47874,                 1.0134,              0.0001586,              0.0001586,              0.0001586
                     96,                0.86396,                0.39687,                0.92886,                0.98372,                0.95914,                 0.9882,                0.69894,                 1.1373,                0.47384,                  1.009,              0.0001388,              0.0001388,              0.0001388
                     97,                0.86789,                0.39145,                 0.9376,                0.98374,                0.96013,                0.98787,                0.70324,                 1.1345,                0.46784,                  1.009,               0.000119,               0.000119,               0.000119
                     98,                0.83897,                0.38815,                0.93444,                0.98183,                0.96825,                0.98804,                0.70635,                 1.1396,                0.46918,                 1.0079,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.86416,                0.39597,                0.94004,                0.98395,                0.97319,                0.98804,                0.70726,                 1.1278,                0.46002,                 1.0059,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.85311,                0.38591,                0.92978,                0.98318,                0.97619,                0.98771,                0.70874,                 1.1197,                  0.455,                 1.0046,               5.96e-05,               5.96e-05,               5.96e-05
